P773A1_overview_Vih1r000V_Vil0r000V_Vt0r500V_Rate0r250ns_Duty0r500, RISETIME,4.76E-11, FALLTIME,4.54E-11, DUTYCYCLE,4.97E+01, FREQUENCY,4.00E+09, VAMPLITUDE,5.05E-01, VPP,5.43E-01, VMAXIMUM,5.21E-01, VMINIMUM,-2.23E-02,
P773A1_overview_Vih1r000V_Vil0r000V_Vt0r500V_Rate0r286ns_Duty0r500, RISETIME,4.66E-11, FALLTIME,4.54E-11, DUTYCYCLE,4.97E+01, FREQUENCY,4.00E+09, VAMPLITUDE,5.05E-01, VPP,5.43E-01, VMAXIMUM,5.21E-01, VMINIMUM,-2.23E-02,
P773A1_overview_Vih1r000V_Vil0r000V_Vt0r500V_Rate0r333ns_Duty0r500, RISETIME,4.55E-11, FALLTIME,4.54E-11, DUTYCYCLE,4.97E+01, FREQUENCY,4.00E+09, VAMPLITUDE,5.05E-01, VPP,5.43E-01, VMAXIMUM,5.21E-01, VMINIMUM,-2.23E-02,
P773A1_overview_Vih1r200V_Vil0r000V_Vt0r500V_Rate0r250ns_Duty0r500, RISETIME,4.76E-11, FALLTIME,4.54E-11, DUTYCYCLE,4.97E+01, FREQUENCY,4.00E+09, VAMPLITUDE,5.05E-01, VPP,5.43E-01, VMAXIMUM,5.21E-01, VMINIMUM,-2.23E-02,
P773A1_overview_Vih1r200V_Vil0r000V_Vt0r500V_Rate0r286ns_Duty0r500, RISETIME,4.86E-11, FALLTIME,4.54E-11, DUTYCYCLE,4.97E+01, FREQUENCY,4.00E+09, VAMPLITUDE,5.05E-01, VPP,5.43E-01, VMAXIMUM,5.21E-01, VMINIMUM,-2.23E-02,
P773A1_overview_Vih1r200V_Vil0r000V_Vt0r500V_Rate0r333ns_Duty0r500, RISETIME,4.96E-11, FALLTIME,4.54E-11, DUTYCYCLE,4.97E+01, FREQUENCY,4.00E+09, VAMPLITUDE,5.05E-01, VPP,5.43E-01, VMAXIMUM,5.21E-01, VMINIMUM,-2.23E-02,
